category,store,menu,price,minprice,delivTip,expDelivTime,openingHours
카페,팔공티,블랙밀크티,2500~,7000,1000~2000,18~33분,"매일 - 오전 11:30 ~ 오후 9:00
연중무휴"
카페,팔공티,초코밀크티,3200~,7000,1000~2000,18~33분,"매일 - 오전 11:30 ~ 오후 9:00
연중무휴"
카페,타르트블라썸,에그타르트,3000,9000,2000~3000,30~45분,"매일 - 오전  11:00 ~ 오후 7:00
연중무휴"
카페,타르트블라썸,생과일타르트,9800,9000,2000~3000,30~45분,"매일 - 오전  11:00 ~ 오후 7:00
연중무휴"
카페,타르트블라썸,타르트 택2+아메리카노,9300,9000,2000~3000,30~45분,"매일 - 오전  11:00 ~ 오후 7:00
연중무휴"
카페,레이즈오븐,아메리카노 ice,3500,15000,2000,39~54분,"평일, 토요일 - 낮 12:00 ~ 오후 8:00
매주 일요일 휴무"
카페,레이즈오븐,카페라떼 ice,4000,15000,2000,39~54분,"평일, 토요일 - 낮 12:00 ~ 오후 8:00
매주 일요일 휴무"
카페,레이즈오븐,바닐라라떼 ice,4300,15000,2000,39~54분,"평일, 토요일 - 낮 12:00 ~ 오후 8:00
매주 일요일 휴무"
카페,리틀포레스트,타마고산도,4900,10500,0~2000,49~64분,"평일 - 오전 11:00 ~ 오후 9:30
일요일 - 낮 12:00 ~ 오후 6:50
매주 토요일 휴무"
카페,리틀포레스트,에그롤롤,4900,10500,0~2000,49~64분,"평일 - 오전 11:00 ~ 오후 9:30
일요일 - 낮 12:00 ~ 오후 6:50
매주 토요일 휴무"
카페,리틀포레스트,홍콩프렌치토스트,5900,10500,0~2000,49~64분,"평일 - 오전 11:00 ~ 오후 9:30
일요일 - 낮 12:00 ~ 오후 6:50
매주 토요일 휴무"
